frame_index,timestamp,ok,tx,ty,tz,rx,ry,rz,num_markers
99,2025-12-14T22:31:19.644106,True,-0.624454,-0.440442,3.011983,-0.861638,-1.572916,0.672528,3
100,2025-12-14T22:31:19.742712,True,-0.622424,-0.432442,3.001427,-0.600434,-1.285966,0.256674,4
101,2025-12-14T22:31:19.842964,True,-0.633764,-0.440188,3.002849,-0.911563,-1.517678,0.522012,5
102,2025-12-14T22:31:19.942657,True,-0.635480,-0.442450,3.024471,-0.849782,-1.634129,0.713840,5
103,2025-12-14T22:31:20.044230,True,-0.635480,-0.442450,3.024471,-0.849782,-1.634129,0.713840,5
104,2025-12-14T22:31:20.143289,True,-0.643910,-0.433088,3.013365,-0.454684,-0.326021,-0.191963,3
105,2025-12-14T22:31:20.244925,True,-0.649567,-0.438563,3.034043,-0.635924,-1.220125,0.421124,5
106,2025-12-14T22:31:20.343222,True,-0.647826,-0.430905,2.994524,-0.600072,-0.825829,0.399616,6
107,2025-12-14T22:31:20.442757,True,-0.637084,-0.424498,2.958379,-0.538716,-0.954482,0.272865,7
108,2025-12-14T22:31:20.543410,True,-0.640642,-0.428538,2.963437,-0.702660,-1.278657,0.314586,9
109,2025-12-14T22:31:20.642181,True,-0.634770,-0.427118,2.952142,-0.655463,-1.211561,0.429391,7
110,2025-12-14T22:31:20.743119,True,-0.641152,-0.427095,2.964272,-0.604849,-0.880599,0.424987,8
111,2025-12-14T22:31:20.843127,True,-0.641300,-0.425444,2.967470,-0.651558,-1.201254,0.024403,6
112,2025-12-14T22:31:20.943136,True,-0.643738,-0.430530,2.977209,-0.787090,-1.065342,0.312781,9
113,2025-12-14T22:31:21.042883,True,-0.646417,-0.432356,2.989244,-0.708766,-1.211951,0.296759,9
114,2025-12-14T22:31:21.142961,True,-0.644284,-0.428152,2.973220,-0.616167,-1.100075,0.242452,7
115,2025-12-14T22:31:21.242684,True,-0.644924,-0.427678,2.971982,-0.704568,-1.162218,0.137614,7
116,2025-12-14T22:31:21.343806,True,-0.645015,-0.428667,2.973691,-0.647184,-1.117964,0.269667,7
117,2025-12-14T22:31:21.442419,True,-0.645015,-0.428667,2.973691,-0.647184,-1.117964,0.269667,7
118,2025-12-14T22:31:21.544355,True,-0.646610,-0.428820,2.975113,-0.721775,-1.163725,0.139493,7
119,2025-12-14T22:31:21.643645,True,-0.645160,-0.428700,2.976790,-0.669299,-0.607726,0.618894,8
120,2025-12-14T22:31:21.744285,True,-0.642922,-0.431016,2.981241,-0.702369,-0.847152,0.534960,6
121,2025-12-14T22:31:21.842683,True,-0.644601,-0.426957,2.965856,-0.746794,-0.738748,0.407511,7
122,2025-12-14T22:31:21.944972,True,-0.653135,-0.430813,2.996617,-0.651379,-1.120019,0.074493,8
123,2025-12-14T22:31:22.042964,True,-0.654294,-0.444309,3.024374,-0.850818,-1.706280,0.409093,4
124,2025-12-14T22:31:22.143358,True,-0.654294,-0.444309,3.024374,-0.850818,-1.706280,0.409093,4
125,,False,,,,,,,0
126,,False,,,,,,,0
127,,False,,,,,,,0
128,,False,,,,,,,0
129,2025-12-14T22:31:22.642987,True,-0.703328,-0.458839,3.074975,-0.598936,-2.467968,1.115183,2
130,2025-12-14T22:31:22.745013,True,-0.705145,-0.457144,3.064830,-0.573039,-2.454110,1.104479,2
131,,False,,,,,,,0
132,,False,,,,,,,0
133,2025-12-14T22:31:23.041814,True,-0.706731,-0.426688,2.965814,-0.373721,-1.289365,0.567845,5
134,2025-12-14T22:31:23.144104,True,-0.707821,-0.420837,2.936711,-0.544888,-1.415582,0.489251,8
135,2025-12-14T22:31:23.242734,True,-0.698464,-0.416984,2.914920,-0.460500,-1.475739,0.545090,6
136,2025-12-14T22:31:23.344060,True,-0.698464,-0.416984,2.914920,-0.460500,-1.475739,0.545090,6
137,2025-12-14T22:31:23.443199,True,-0.705663,-0.421284,2.930494,-0.586135,-1.505780,0.530458,6
